,text_id,level,text
169,2_5_4,Ele,The tests Anderson and his colleagues did involved 180 students and employees at Lancaster University. Half of the people were told to tell the truth and half to lie. The researchers interviewed some of the people about a computer game called Never End that they played for seven minutes. Others lied about playing it. The second test involved a lost wallet with £5 inside. Some people had to bring the wallet to a lost-and-found box. Others hid it and lied about it.
171,2_5_5,Adv,"“Overall, we correctly classified 82.2% (truths: 88.9%; lies: 75.6%) of the interviewees as either being truthful or deceptive based on the combined movement in their individual limbs,” the report says. Anderson said: “Our first attempt looked at the extent to which different body parts and body signals indicated deception. It turned out that liars wave their arms more but, again, this is only at the 55% level that you can get from a conventional polygraph. The pay dirt was when we considered total body motion. That turns out to tell truth from lies over 70% of the time.” The use of all-body suits is expensive – they cost about £30,000 – and can be uncomfortable, and Anderson and his colleagues are now looking at low-cost alternatives. These include using motion-sensing technology from computer games, such as the Kinect camera devices developed by Microsoft for the Xbox console."
170,2_5_5,Ele,"The new body-suit method was correct 82.2% of the time. Researchers monitored how much the people moved their arms and legs, to decide if they were telling the truth or lying. All-body suits are expensive – they cost about £30,000 – and they can be uncomfortable, so Anderson and his colleagues are now looking at cheaper alternatives. These include using motion-sensing technology from computer games, such as the Kinect camera devices developed by Microsoft for the Xbox console."
173,2_6_1,Adv,"Vienna is the world's best city to live in, Baghdad is the worst and London, Paris and New York do not even make it into the top 35, according to international research into quality of life. German-speaking cities dominate the rankings in the 18th Mercer Quality of Life study, with Vienna joined by Zurich, Munich, Dusseldorf and Frankfurt in the top seven. Paris has tumbled down the league, falling ten places to 37th, just ahead of London at 39th, almost entirely because of the city's vulnerability to terrorist attacks. The study examined social and economic conditions, health, education, housing and the environment, and is used by big companies to assess where they should locate offices and factories and how much they should pay staff."
172,2_6_1,Ele,"Vienna is the world's best city to live in, Baghdad is the worst and London, Paris and New York are not in the top 35, says an international study on quality of life. German-speaking cities do well in the 18th Mercer Quality of Life study, with Vienna, Zurich, Munich, Dusseldorf and Frankfurt in the top seven. Paris fell ten places to 37th. This was mostly because of the terrorist attacks on the city. Paris was just above London in 39th place. The study looked at the economy, health, education, housing and the environment. Big companies use the results of the study to decide where they should open offices and factories and how much they should pay their employees."
174,2_6_2,Adv,"Viennese-born Helena Hartlauer, 32, said she was not surprised at her city's top position. The municipality's social democratic government has a long tradition of investing in high-quality social housing, making Vienna almost uniquely affordable among major cities. “I live in a 100sq-meter 100sq-meter turn-of-the-century apartment in a good area about 20 minutes' walk from the city center. But my rent is just €800 (£625) a month.” An equivalent apartment in London would cost upwards of £2,000 and even more in New York, ranked 44th in the table."
175,2_6_2,Ele,"Helena Hartlauer, 32, is from Vienna. She said she was not surprised about her city's top position. For many years, Vienna's government has spent money on good social housing. This makes Vienna a cheap place to live compared to other big cities. “I live in a 100 square-meter apartment in a good area about 20 minutes' walk from the city center. But my rent is just €800 (£625) a month.” A similar apartment in London costs over £2,000 and even more in New York, which came 44th in the study."
176,2_6_3,Adv,"US cities perform relatively poorly in the study, largely because of issues around personal safety and crime. The highest ranking city in the US is San Francisco, at 28th; Boston is 34th. Canadian cities, led by Vancouver, far outrank their US rivals in the table. “You don't realize how safe Vienna is until you head abroad,” said Hartlauer. “We also have terrific public transport, with the underground working 24 hours at weekends, and it only costs €1 per trip.”"
177,2_6_3,Ele,"US cities do badly in the study, mostly because of worries about personal safety and crime. The US city in top position is San Francisco, in 28th position; Boston is 34th. “You don't realize how safe Vienna is until you go abroad,” said Hartlauer. “We also have terrific public transport – the underground trains run 24 hours at weekends and it only costs €1 per trip.”"
179,2_6_4,Adv,"“Our big USP (unique selling point) is our geographical location,” said Martin Eichtinger, Austrian ambassador to London, who lived in Vienna for 20 years. “The fall of the Berlin Wall helped define Vienna as a hub for companies wanting to do business in Central Europe.” According to the World Bank, Austria has one of the highest figures for GDP per head in the world, just behind the US and ahead of Germany and Britain, although quite some way below neighboring Switzerland. Zurich in Switzerland is named by Mercer as having the world's second highest quality of life but the Viennese say their city is far more fun. “There are more students in Vienna than any other German-speaking city,” said Hartlauer. “It's a very fast growing, young and lively city,” she added – though she conceded she works for the city's tourist board."
178,2_6_4,Ele,"“Vienna's location is very special,” said Martin Eichtinger, Austrian ambassador to London, who lived in Vienna for 20 years. “The fall of the Berlin Wall helped make Vienna a center for companies who want to do business in Central Europe.” Mercer says Zurich in Switzerland has the world's second highest quality of life but the Viennese say their city is far more fun. “There are more students in Vienna than any other German-speaking city,” said Hartlauer. “It's a very young and lively city,” she added."
180,2_7_1,Adv,"Clay Cockrell is sitting in his office at Columbus Circle, across the street from 1 Central Park West, which houses Trump International Hotel and Tower. In front of the tower is Central Park, where Cockrell holds his popular walk and talk therapy sessions. Cockrell, a former Wall Street worker turned therapist, spends large parts of his days walking through Central Park or the Battery Park in downtown Manhattan near Wall Street, as a confidant and counselor to some of New York's wealthiest people."
181,2_7_1,Ele,"Clay Cockrell is sitting in his office opposite the Trump International Hotel and Tower. In front of the tower is Central Park, where Cockrell holds his popular walk and talk therapy sessions. Cockrell is a former Wall Street worker who is now a therapist. He spends large parts of his days walking in Central Park or the Battery Park in downtown Manhattan near Wall Street, talking to some of New York's wealthiest people."
182,2_7_2,Adv,"“I shifted towards it naturally,” he said of his becoming an expert in wealth therapy. “Many of the extremely wealthy – the 1% of the 1% – feel that their problems are really not problems. But they are. A lot of therapists do not give enough weight to their issues.” So, what issues are America's 1% struggling with? “There is guilt over being rich in the first place,” he said. “There is the feeling that they have to hide the fact that they are rich. And, then, there is the isolation – being in the 1%, it turns out, can be lonely.” It seems F. Scott Fitzgerald was right: the very rich “are different from you and me.” Counselors argue things have become worse since the financial crisis and the debate over income inequality that has been spurred on by movements like Occupy Wall Street and the Fight for $15 fair wage campaign."
183,2_7_2,Ele,"“Many of the extremely wealthy – the 1% of the 1% – feel that their problems are really not problems. But they are,” he says. So, what problems do America's 1% have? “There is guilt that they are rich,” he said. “There is the feeling that they have to hide that they are rich. And, then, there is the isolation – being in the 1% can be lonely.” Counselors say that things have become worse since the financial crisis. People now talk about the gap between rich and poor more because of movements like Occupy Wall Street."
185,2_7_3,Adv,"“The Occupy Wall Street movement was a good one and had some important things to say about income inequality but it singled out the 1% and painted them globally as something negative,” said Jamie Traeger-Muney, a wealth psychologist and founder of the Wealth Legacy Group. The media, she said, is partly to blame for making the rich “feel like they need to hide or feel ashamed”. “Sometimes, I am shocked by things that people say. You would never refer to another group of people in the way that it seems perfectly normal to refer to wealth holders.”"
184,2_7_3,Ele,"“Occupy Wall Street had some important things to say about the gap between rich and poor but it was negative about the 1%,” said Jamie Traeger-Muney, a wealth psychologist. The media, she said, makes the rich “feel like they need to hide or feel ashamed”. “Sometimes, I am shocked by things that people say. You would never talk about another group of people in the way that it seems perfectly normal to talk about wealthy people.”"
186,2_7_4,Adv,"“It's really isolating to have a lot of money. People's reactions to you can be scary,” said Barbara Nusbaum, an expert in money psychology. “We are all taught not to talk about money. It's not polite to talk about money. Ironically, it's harder to talk about having money than it is to talk about not having money. It's much more socially acceptable to say ‘I am broke. Things are hard.' You can't say ‘I have a ton of money.' You have to keep a lot of your life private.” As a result, Cockrell points out, the rich tend to hang out with other rich Americans, not out of snobbery but in order to be around those who understand them and their problems."
187,2_7_4,Ele,"“It's really isolating to have a lot of money. People's reaction to you can be scary,” said Barbara Nusbaum, an expert in money psychology. “We are all taught not to talk about money. It's not polite to talk about money. But it's harder to talk about being rich than it is to talk about being poor. People don't mind if you say ‘I am broke. Things are hard.' You can't say ‘I have a ton of money.' You have to keep a lot of your life private.” As a result, Cockrell says, the rich hang out with other rich Americans who understand them and their problems."
188,2_7_5,Adv,"In the US, over the last three decades, the number of extremely wealthy people has been climbing. According to research from Spectrem Group, in 2014, the number of US households with $1m or more in assets – excluding the value of their primary home – increased by 500,000 to 10.1m. In 2007, that number was 9.2m. Households worth $5m or more reached 1.3m and 142,000 households are now worth $25m or more. Since the 2008 financial crisis, the income gap has expanded and the situation “has gotten worse for the wealthy,” Cockrell said. The main reason? Not knowing if your friends are friends with you or your money. “Someone else who is also a billionaire – they don't want anything from you. Never being able to trust your friendships with people of different means, I think that is difficult,” said Cockrell. “As the gap has widened, the rich have become more and more isolated.”"
189,2_7_5,Ele,"In the US, over the last 30 years, the number of very wealthy people has grown. In 2014, the number of US households with $1 million or more – excluding the value of their main home – increased by 500,000 to 10.1 million. There were 1.3 million households worth $5 million and 142,000 worth $25 million or more. Since the 2008 financial crisis, the gap between the rich and the poor has grown and the situation “has gotten worse for the wealthy,” Cockrell said. The main reason? Not knowing if your friends are friends with you or with your money. “Someone else who is also a billionaire – they don't want anything from you. Never being able to trust your friendships with other people, I think that is difficult,” said Cockrell."
190,2_7_6,Adv,"Some Americans have taken to keeping their wealth secret. “There are a lot of people that are hiding their wealth because they are concerned about negative judgment,” said Traeger-Muney. “If wealthy Americans talk about the unique challenges that come with their wealth, people often dismiss their experience. People say ‘Oh, poor you.' There is not a lot of sympathy there,” she said. “Wealth is still one of our last taboos.” Cockrell said that a common mistake that many of his wealthy clients make is letting their money define them. “I don't think it's healthy to discount your problems. If you are part of the 1%, you still have problems and they are legitimate to you. Even when you say, ‘I don't have to struggle for money', there are other parts of your life. Money is not the only thing that defines you,” he said. “Your problems are real.”"
191,2_7_6,Ele,"Some Americans keep their wealth secret. “There are a lot of people hiding their wealth because they are worried about negative judgment,” said Traeger-Muney. “If wealthy Americans talk about their problems, people often don't have a lot of sympathy,” she said. Cockrell said that there is a common mistake that many of his wealthy clients make – they let their money define them. “If you are part of the 1%, you still have problems. There are other parts of your life. Money is not the only thing,” he said. “Your problems are real.”"
193,2_8_1,Adv,"From all across Rwanda, and even parts of neighboring Burundi, people flock to the southern town of Butare to a little shop called Inzozi Nziza (Sweet Dreams). They come for a taste of the unknown, something most have never tasted – the sweet, cold, velvety embrace of ice cream. Here, at the central African country's first ice-cream parlor, customers can buy scoops in sweet cream, passion fruit, strawberry and pineapple flavors. Toppings include fresh fruit, honey, chocolate chips and granola. Black tea and coffee are also on sale."
192,2_8_1,Ele,"From all across Rwanda, and even from Burundi, people are coming to the southern town of Butare to a little shop called Inzozi Nziza (Sweet Dreams). They come for a taste of something new, something most of them have never tasted before – sweet, cold ice cream. Here, at the central African country's first ice-cream shop, customers can buy ice cream in sweet cream, passion fruit, strawberry and pineapple flavors. Toppings include fresh fruit, honey, chocolate chips and granola. They can also buy black tea and coffee."
194,2_8_2,Adv,"The shop, which has “ice cream, coffee, dreams” across its signage, is milking local curiosity about the dessert – and “changing lives” in the process, says Inzozi Nziza's manager, Louise Ingabire. “Ice cream is important,” she says between mouthfuls of a honey-flavored offering. “Some Rwandans like ice cream, but it's a new thing. We still have some work to do, to tell others that they'll enjoy it.” True to Inzozi Nziza's motto, the shop can certainly make dreams come true. “I didn't have a job before: I just stayed at home. Now, I have a vision for the future. I am making money and I can give some of it to my family,” says the 27-year-old."
195,2_8_2,Ele,"The shop, which has “ice cream, coffee, dreams” written on its signs, is taking advantage of local people's curiosity about ice cream – and the shop is also “changing lives,” says Inzozi Nziza's manager, Louise Ingabire. “Ice cream is important,” she says between mouthfuls of honey-flavored honey-flavored ice cream. “Some Rwandans like ice cream, but it's a new thing. We still have some work to do, to tell others that they'll enjoy it.” The shop can certainly make dreams come true. “I didn't have a job before: I just stayed at home. Now, I have a vision for the future. I am making money and I can give some of it to my family,” says the 27-year-old."
196,2_8_3,Adv,"Butare, which has 89,600 residents and is located 135km south of the capital, Kigali, is the home of the National University of Rwanda. Inzozi Nziza has become a hub for tired students looking to treat themselves to something cool and different. “It's something uniting people here,” Kalisa Migendo, a 24-year-old agriculture student, says. “If you need to go out and talk to a friend, a girl or a boy, you come to Inzozi Nziza for an ice cream.” Most of the ingredients are sourced locally and the milk comes from a depot in nearby Nyanza. The vanilla beans and cocoa are imported."
197,2_8_3,Ele,"Butare has 89,600 residents and is 135km south of the capital, Kigali. It is the home of the National University of Rwanda. Inzozi Nziza has become a meeting place for students who want to treat themselves to something cool and different. “The shop is uniting people here,” Kalisa Migendo, a 24-year-old student, says. “If you need to go out and talk to a friend, a girl or a boy, you come to Inzozi Nziza for an ice cream.” Most of the ingredients are from local sources and the milk comes from nearby Nyanza. The vanilla beans and cocoa are imported."
199,2_8_4,Adv,"Inzozi Nziza was opened by the theater director Odile Gakire Katese. She met Alexis Miesen and Jennie Dundas, co-founders of Blue Marble Ice Cream in Brooklyn, New York, and formed a partnership with them to open the shop in 2010. “An ice-cream shop, Katese proposed, might help to put the human pieces back together by rebuilding spirits, hopes and family traditions,” Miesen says. At the start, Miesen and Dundas owned the shop in partnership with its staff and had shares in the business, which is a cooperative and non-profit. They did not set financial targets, but waited for 18 months before they transferred their shares to the women, who had by then proved their business credentials."
198,2_8_4,Ele,"Inzozi Nziza was opened by Odile Gakire Katese. She met Alexis Miesen and Jennie Dundas, co-founders of Blue Marble Ice Cream in Brooklyn, New York. The three women formed a partnership to open the shop in 2010. At the start, Miesen and Dundas owned the shop in partnership with its employees and had shares in the business, which is a cooperative. After 18 months, they gave their shares to the women employees, who by then could control the business by themselves."
200,2_8_5,Adv,"Though ice cream is somewhat new to Rwanda, Ndangiza is enthused by the idea of the shop. “I think it's great. It requires a lot of skills and changing people's mindsets because selling and eating ice cream is not part of Rwanda's culture"""". The Butare shop employs nine women, who spend their spare time practicing with Ingoma Nshya, Rwanda's first and only female drumming troupe, which was established by Katese ten years ago. The musicians are Hutu and Tutsi women, some survivors of the 1994 genocide, during which almost a million Tutsis and moderate Hutus were killed. Some members of Ingoma Nshya are widows, some orphans. Ingabire's father, two siblings and many cousins were killed in the genocide. “Some of us are survivors; some know someone who was killed,” she says. “When I'm drumming with them, it gives me power because we're still alive and survivors.”"
201,2_8_5,Ele,"Ice cream is new to Rwanda. Selling and eating ice cream is not part of the Rwandan culture. The Butare shop employs nine women. They spend their free time practicing with Ingoma Nshya, Rwanda's first and only female drumming group. The musicians are Hutu and Tutsi women. Some are survivors of the 1994 genocide, when almost a million Tutsis and Hutus were killed. Some members of Ingoma Nshya are widows, some orphans. Ingabire's father, two siblings and many cousins were killed in the genocide. “When I'm drumming, it gives me power because we're still alive and survivors,” she says."
202,2_8_6,Adv,"The popular ice-cream shop features in a documentary by Rob and Lisa Fruchtman, sibling film-makers. film-makers. Sweet Dreams, which tells the story of how the women have forged a promising post-genocide post-genocide future, also includes the female drummers. The film, which has been screened in more than a dozen countries, including the US, UK and several African states, premieres in Rwanda in 2014. “We feel the film is about resilience, hope, bravery, resourcefulness and the ability to change the course of your own life,” says Lisa Fruchtman, who won an Academy Award for film-editing film-editing in 1984."
203,2_8_6,Ele,"The ice-cream shop is in a documentary by film-makers Rob and Lisa Fruchtman. Sweet Dreams, which tells the story of how the women have made a positive future after the genocide, also includes the female drummers. The film has been shown in many countries, including the US, UK and several African states. “We feel the film is about hope, bravery and the ability to change your life,” says Lisa Fruchtman."
204,2_9_1,Adv,"A major international disagreement with wide-ranging implications for global drugs policy has erupted over the right of Bolivia's indigenous Indian tribes to chew coca leaves, the principal ingredient in cocaine. Bolivia has obtained a special exemption from the 1961 Single Convention on Narcotic Drugs, the framework that governs international drugs policy, allowing its indigenous people to chew the leaves. Bolivia had argued that the convention was in opposition to its new constitution, adopted in 2009, which obliges it to “protect native and ancestral coca as cultural patrimony” and maintains that coca “in its natural state ... is not a dangerous narcotic.”"
205,2_9_1,Ele,"A big international disagreement has started over the right of Bolivia's indigenous Indian tribes to chew coca leaves, the main ingredient in cocaine. This could have a significant effect on global drugs policy. Bolivia has received a special exemption from the 1961 Convention on Drugs, the agreement that controls international drugs policy. The exemption allows Bolivia's indigenous people to chew the leaves. Bolivia said that the convention was against its new constitution, adopted in 2009, which says it must “protect native and ancestral coca” as part of its cultural heritage and says that coca “in its natural state ... is not a dangerous drug.”"
206,2_9_2,Adv,"South American Indians have chewed coca leaves for centuries. The leaves reputedly provide energy and are said to have medicinal qualities. Supporters of Bolivia's position praised it for doing the right thing by defending the rights of indigenous people. “The Bolivian move is inspirational and groundbreaking,” said Danny Kushlick, Head of External Affairs at the Transform Drug Policy Foundation, which promotes drug liberalization. “It shows that any country that has had enough of the war on drugs can change the terms of its engagement with the UN conventions.”"
207,2_9_2,Ele,"South American Indians have chewed coca leaves for hundreds of years. The leaves give energy and have medicinal qualities. People who support Bolivia's position said that defending the rights of indigenous people was the right thing to do. “The Bolivian move is very important,” said Danny Kushlick, of the Transform Drug Policy Foundation. “It shows that any country that doesn't want to continue the war on drugs can change its relations with the UN conventions.”"
208,2_9_3,Adv,"However, the UN's International Narcotics Control Board (INCB), which monitors implementation of the global drug treaties, has accused Bolivia of threatening the integrity of the international drug control regime. A number of countries – including the UK, the US, Italy, Sweden, the Netherlands and Russia – opposed Bolivia's demands. The UK's submission to the UN, which oversees the convention, told the UN that it “acknowledges and respects the cultural importance of the coca leaf in Bolivia,” but it adds: “The United Kingdom is … concerned that the reservation could lead to increases in coca production and – most importantly – the amount of coca diverted to the cocaine trade. As such, the reservation would weaken international law as it relates to the global effort to tackle the illegal drugs trade and could weaken the international community's response to that trade.”"
209,2_9_3,Ele,"But the UN's International Narcotics Control Board (INCB), which checks global drug agreements, says Bolivia may harm international drug controls. Many countries – including the UK, the US, Italy, Sweden, the Netherlands and Russia – do not want to give Bolivia what it is asking for. The UK told the UN that it “respects the cultural importance of the coca leaf in Bolivia,” but it adds: “The United Kingdom is worried that the exemption could lead to more coca production and – most importantly – more coca reaching the cocaine trade. The exemption would make it more difficult to control the illegal drugs trade.”"
210,2_9_4,Adv,"The right of indigenous communities in South America's Andean region to chew coca leaf was removed in 1964 when Bolivia was under a dictatorship and it signed up to the convention. But Bolivia was given 25 years to implement the ban. This expired in 1989 and since then the issue has been under dispute. In 2011, Bolivia formally notified the UN of its withdrawal from the convention. On Friday it reacceded to the convention, but with an exemption from the prohibition on the chewing of coca leaves. The move is the first of its kind in the history of UN drug-control treaties and has sparked concerns that other countries may apply for amendments. Russia has argued that the move will lead to “an increase in illegal circulation of cocaine” and warned that “it also sets a dangerous precedent that could be used by other states in creating a more liberal drug-control regime.”"
211,2_9_4,Ele,"The right of indigenous people in South America's Andean region to chew coca leaf was removed in 1964 when Bolivia was under a dictatorship and it signed the convention. In 2011, Bolivia told the UN that it did not want to be part of the convention any more. It is now part of the convention again, but with an exemption so that its indigenous people can continue chewing coca leaves. The exemption is the first in the history of UN drug-control agreements. It has led to worries that other countries may also ask for exemptions. Russia says that the exemption will lead to more illegal cocaine and warns that “it also sets a dangerous example that could be used by other states in creating a more liberal drug-control regime.”"
212,2_9_5,Adv,"The British parliament has recommended that Bolivia's request should be backed by the UK government, arguing that it was important that countries remained within the single convention. Bolivia's re-accession could be blocked only if a third or more of the 184 countries that have signed up to the convention opposed its request. There are suspicions that the US and UK are frantically lobbying other countries to gain sufficient numbers to block Bolivia's request. Nancie Prud'homme, of the International Center on Human Rights and Drug Policy, criticized the co-ordinated opposition to Bolivia's demands. “These objections are legally questionable,” she said. “They support an arbitrary and over-broad provision and apply international drug laws in a vacuum. This is not appropriate. There are established international norms on cultural and indigenous rights, so we should support Bolivia's efforts.”"
213,2_9_5,Ele,"The British parliament has recommended that the UK government should support Bolivia's request. It says that it is important that countries stay in the convention. Bolivia's return could be blocked only if a third or more of the 184 countries that have signed the convention opposed the exemption. Some people believe that the US and UK are telling other countries that they should block Bolivia's request. Nancie Prud'homme, of the International Center on Human Rights and Drug Policy, said people are wrong to oppose Bolivia's request. “These objections are not completely legal,” she said. She added that, all over the world, it has become the norm to support cultural and indigenous rights, so we should support Bolivia's efforts."
214,2_9_6,Adv,"The decision to ban coca chewing was based on a 1950 report produced by the UN Commission of Inquiry on the Coca Leaf, which proponents of drug liberalization say was not based on supporting evidence. In an interview in 1949, the head of the Commission, Howard B Fonda, signaled his opposition to the chewing of coca leaves before his inquiry had begun. Fonda told an interviewer: “We believe that the daily, inveterate use of coca leaves by chewing … is thoroughly noxious and therefore detrimental.” The growing of coca leaves is legal and licensed in Bolivia. The policy has been credited with a fall in cocaine production in the country, leading some experts to see the Bolivian model as a way forward for other countries."
215,2_9_6,Ele,"The decision to ban coca chewing was based on a 1950 report by the UN. Supporters of drug liberalization say the report was not based on any evidence. It is legal to grow coca leaves in Bolivia. As a result, cocaine production has decreased in the country and some experts see Bolivia as a model for other countries."
217,3_10_1,Adv,"Angela Erdmann never knew her grandfather. He died in 1946, six years before she was born. But, on Tuesday 8th April, 2014, she described the extraordinary moment when she received a message in a bottle, 101 years after he had lobbed it into the Baltic Sea. Thought to be the world's oldest message in a bottle, it was presented to Erdmann by the museum that is now exhibiting it in Germany."
216,3_10_1,Ele,"Angela Erdmann never knew her grandfather. He died in 1946, six years before she was born. But, on Tuesday April 28th, 2014, she described the extraordinary moment when she received a message in a bottle, 101 years after he threw it into the Baltic Sea. The bottle is possibly the world's oldest message in a bottle. It was presented to Erdmann by the museum that is now exhibiting it in Germany."
218,3_10_2,Adv,"“It was very surprising,” Angela Erdmann, 62, said, recalling how she found out about the bottle. “A man stood at my door and told me he had post from my grandfather. He then told me that a message in a bottle had been found and that the name that was on the card was that of my grandfather.” Her visitor was a genealogical researcher who had managed to track her down in Berlin after the letter was given to the International Maritime Museum in the northern port city of Hamburg."
219,3_10_2,Ele,"“It was very surprising,” Angela Erdmann, 62, said, when she described how she found out about the bottle. “A man came to my door and told me he had post from my grandfather. Then, he told me that someone had found a message in a bottle and that on the card was my grandfather's name.” Her visitor was a family-tree researcher who found her in Berlin after someone gave the letter to a museum in the northern city of Hamburg."
220,3_10_3,Adv,"The brown beer bottle, which had been in the water for 101 years, was found in the catch of Konrad Fischer, a fisherman, who had been out in the Baltic Sea off the northern city of Kiel. Holger von Neuhoff, curator for ocean and science at the museum, said this bottled message was the oldest he had come across. “There are documents that have been found without the bottle that are older and are in the museum,” he said. “But, with the bottle and the document, this is certainly the oldest at the moment. It is in extremely good condition.”"
221,3_10_3,Ele,"The brown beer bottle was in the water for 101 years. A fisherman found it in the Baltic Sea off the northern city of Kiel. Holger von Neuhoff, a curator at the museum, said this bottled message was the oldest he had ever seen. “There are documents without the bottle that are older and they are in the museum,” he said. “But, with the bottle and the document, this is certainly the oldest at the moment. It is in very good condition.”"
222,3_10_4,Adv,"Researchers believe Erdmann's grandfather, Richard Platz, threw the bottle in the sea while on a hike with a nature appreciation group in 1913. He was 20 years old at the time. Much of the postcard was indecipherable, although the address in Berlin on the front of the card was legible, as was the author's polite request that the note be sent by the finder to his home address. “He also included two stamps from that time that were also in the bottle, so the finder would not incur a cost,” Erdmann said. “But he did not think it would take 101 years.” She said she was moved by the arrival of the message, although she had not known her grandfather because he died, at the age of 54, six years before she was born."
223,3_10_4,Ele,"Researchers believe that Erdmann's grandfather, Richard Platz, threw the bottle into the sea when he was on a hike in 1913. He was 20 years old at the time. A lot of the message on the postcard was impossible to read, but the address in Berlin on the front of the card was legible. Platz asked the person who found it to send the postcard to his home address. “He also included two stamps from that time that were also in the bottle, so the finder would not have to pay for postage,” Erdmann said. “But he did not think it would take 101 years.” She said she was moved by the arrival of the message, but she did not know her grandfather because he died, at the age of 54, six years before she was born."
225,3_10_5,Adv,"“I knew very little about my grandfather, but I found out that he was a writer who was very open-minded, and believed in freedom and that everyone should respect each other,” she said. “He did a lot for the young and later traveled with his wife and two daughters. It was wonderful because I could see where my roots came from.” Like her grandfather, Erdmann said, she also liked culture and traveling around the world. She described herself as open-minded, too. “What he taught his two daughters, my mother taught me and I have then given to my sons,” she said. Despite her joy at receiving the bottled message, she said that she hoped others would not repeat what her grandfather had done and throw bottles with messages into the sea. “Today, the sea is so full of so many bottles and rubbish that more shouldn't be thrown in there,“ she said."
224,3_10_5,Ele,"“I knew very little about my grandfather. But I found out that he was a writer. He was very open-minded, and he believed in freedom and that everyone should respect each other,” she said. “He did a lot for the young and later traveled with his wife and two daughters. It was wonderful because I could see where my roots came from.” Erdmann said she also liked culture and traveling around the world, just like her grandfather. She described herself as open-minded, open-minded, too. She was very happy to receive the bottled message, she said, but she hoped other people would not do what her grandfather did and throw bottles with messages into the sea. “Today, the sea is so full of bottles and rubbish that we shouldn't throw more in there,” she said."
226,3_10_6,Adv,"The message and the bottle will be on display at Hamburg's Maritime Museum until the beginning of May 2014, after which experts will attempt to decipher the rest of the text. It is not clear what will then happen to the bottle, but Erdmann hopes it will stay at the museum. “We want to make a few photos available to put with the bottle and give it a face, so visitors can see the young man who threw the bottle into the water,” she said."
227,3_10_6,Ele,"The message and the bottle will be on display at Hamburg's Maritime Museum until the beginning of May 2014. Then, experts will try to decipher the rest of the text. It is not clear what will happen to the bottle after that, but Erdmann hopes it will stay at the museum. “We want to find a few photos to put with the bottle and give it a face, so visitors can see the young man who threw the bottle into the water,” she said."
228,3_1_1,Adv,"The Moroccan city of Ouarzazate is used to big productions. It is on the edge of the Sahara Desert and at the center of Morocco's “Ouallywood” film industry. Now, the trading city is the location for a complex of four linked solar mega-plants, which, alongside hydro and wind, will help provide nearly half of Morocco's electricity from renewables by 2020 with, it is hoped, some spare to export to Europe. The project is a key plank in Morocco's ambitions to use its deserts to become a global solar superpower. When the full complex is complete, it will be the largest concentrated solar power plant in the world and the first phase, called Noor 1, will go live in November 2015. The mirror technology it uses is less widespread and more expensive than the photovoltaic panels that are now familiar on roofs the world over but it will have the advantage of being able to continue producing power even after the sun goes down."
229,3_1_1,Ele,"The Moroccan city of Ouarzazate is on the edge of the Sahara Desert. It is now the center for four linked solar mega-plants. The plants, together with hydro and wind, will give Morocco, in North Africa, nearly half of its electricity from renewable energy by 2020. The project is a key part of Morocco's plans to use its deserts to become a global solar superpower. When the full complex is complete, it will be the largest concentrated solar power plant in the world. The first phase, called Noor 1, will be ready in November 2015. The mirror technology it uses is more expensive than the solar panels that we can see on roofs all over the world but it will be able to produce power even after the sun goes down."
231,3_1_2,Adv,"As engineers put the finishing touches to Noor 1, its 500,000 crescent-shaped solar mirrors glitter across the desert skyline. The 800 rows follow the sun as it tracks across the heavens, whirring quietly every few minutes as their shadows slip further east. When they are finished, the four plants at Ouarzazate will occupy a space as big as Morocco's capital city, Rabat, and generate 580 mega-watts (MW) of electricity, enough to power a million homes."
230,3_1_2,Ele,"At Noor 1, there are 500,000 moon-shaped solar mirrors. The 800 rows of mirrors follow the sun across the sky. They whir quietly every few minutes. When they are finished, the four plants at Ouarzazate will be as big as Morocco's capital city, Rabat, and make 580 mega-watts of electricity, enough for a million homes."
232,3_1_3,Adv,"The potential for solar power from the desert has been known for decades. In the days after the Chernobyl nuclear accident in 1986, the German particle physicist Gerhard Knies calculated that the world's deserts receive enough energy in a few hours to provide for humanity's power needs for a whole year. The challenge, though, has been capturing that energy and transporting it to the population centers where it is required. Experts expect that solar energy will make up a third of Morocco's renewable energy supply by 2020, with wind and hydro taking the same share each. “We are very proud of this project,” Morocco's environment minister, Hakima el-Haite said. “I think it is the most important solar plant in the world.”"
233,3_1_3,Ele,"People have known for many years that the desert is a useful place to produce solar energy. In 1986, the German scientist Gerhard Knies said that the world's deserts receive enough energy in a few hours to make power for all the people in the world for a whole year. But the challenge is to capture that energy and take it to where it is needed. Experts say that solar energy will make up a third of Morocco's renewable energy supply by 2020. Wind and hydro will make up the other two-thirds. “We are very proud of this project,” Morocco's environment minister, Hakima el-Haite said. “I think it is the most important solar plant in the world.”"
